"Sygnatura czasowa","Płeć:","Wiek:","Kierunek studiów:"," [Czuję się brzydszy/a od innych ludzi.]"," [Boję się wykluczenia, bo nie jestem wystarczająco fajny/a.]"," [Ogólnie jestem zadowolony ze swoich wyników na studiach.]"," [Nie jestem osobą wartą zainteresowania.]"," [Rozpoczynając naukę nowych przedmiotów, obawiam się, że im nie podołam.]"," [Jestem wystarczająco atrakcyjny/a, żeby umawiać się na randki.]"," [Gdy ktoś mnie skrytykuje, to czuję się bezwartościowy/a.]"," [Uważam, że potrafię wspierać bliskie mi osoby.]"," [Myślę, że jestem za brzydki/a, żeby podobać się innym.]"," [Moje spostrzeżenia są zwykle cennym wkładem w dyskusję na zajęciach.]"," [Zasługuję na miłość i akceptację taka/taki, jaka/jaki jestem.]"," [Relacja ze mną jest cenna.]"," [Uważam, że nie jestem dostatecznie inteligentny/a, aby studiować kierunek, który wybrałem/am.]"," [Zasługuję na bycie docenionym/ą nie mniej niż inni studenci.]"," [Akceptuję niedoskonałości w swoim ciele.]"," [Kiedy ponoszę porażkę na studiach, to czuję się mniej inteligentny/a.]"," [Ogólnie jestem zadowolony/a ze swojego wyglądu.]"," [Nie zasługuję na komplementy, bo jestem za mało atrakcyjny/a.]"," [Czułbym się niepewny swojej wiedzy i swoich umiejętności, nawet gdyby moje wyniki na studiach były dobre.]"," [Krytyczne uwagi na temat mojego wyglądu sprawiają, że czuję się zupełnie nieatrakcyjny/a.]"," [Nie lubię patrzeć na swoje zdjęcia, bo wychodzę na nich źle.]"," [Są części mojego ciała, których nienawidzę.]"," [Wstydzę się pokazać w stroju kąpielowym na plaży.]"," [Boję się tego, że będę źle odebrany/a, jeśli będę zachowywać się swobodnie.]"," [Czuję się gorszy/a od innych.]"," [Jestem beznadziejnym/ą studentem/studentką.]"," [Czuję się skrępowany/a tym, jak wyglądam.]"," [Wstydzę się zadawać pytania na zajęciach z obawy, że są za głupie.]"
"2021/12/28 11:41:17 AM CET","mężczyzna","20","Prawo","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej tak","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie"
"2021/12/28 11:45:13 AM CET","kobieta","20","Leśnictwo","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie"
"2021/12/28 11:47:03 AM CET","mężczyzna","22","Pilotaż Samolotowy","raczej nie","raczej nie","zdecydowanie tak","raczej nie","zdecydowanie nie","raczej tak","raczej nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","zdecydowanie nie","raczej tak","raczej tak","raczej tak","raczej tak","raczej nie","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie"
"2021/12/28 12:13:56 PM CET","kobieta","20","Astronomia","trochę tak, trochę nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","trochę tak, trochę nie","raczej tak","raczej nie","raczej nie","zdecydowanie tak","raczej nie","raczej nie","raczej tak","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak"
"2021/12/28 12:19:22 PM CET","mężczyzna","20","Muzykologia","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej tak","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak"
"2021/12/28 12:23:52 PM CET","mężczyzna","20","Dowodzenie","raczej nie","zdecydowanie nie","raczej tak","raczej nie","raczej nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie"
"2021/12/28 12:38:23 PM CET","kobieta","19","Sinologia","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","raczej nie","zdecydowanie tak","raczej nie","raczej tak","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","raczej nie","zdecydowanie tak","raczej nie","raczej nie","raczej tak","zdecydowanie tak"
"2021/12/28 12:39:40 PM CET","inna","21","Sinologia","raczej nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej tak","raczej nie","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej tak","raczej nie","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","raczej nie","zdecydowanie nie","trochę tak, trochę nie","raczej nie"
"2021/12/28 12:40:47 PM CET","kobieta","19","sinologia","raczej nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","raczej tak","raczej nie","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","raczej tak","raczej nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie"
"2021/12/28 12:44:10 PM CET","mężczyzna","19","Filologia słowiańska","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie"
"2021/12/28 12:44:51 PM CET","kobieta","20","Filologia słowiańska","trochę tak, trochę nie","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","raczej nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie"
"2021/12/28 12:45:39 PM CET","kobieta","20","sinologia","raczej nie","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej nie","raczej tak","raczej tak","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","raczej nie","zdecydowanie nie","raczej nie","raczej tak"
"2021/12/28 12:46:35 PM CET","kobieta","19","sinologia","raczej nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","raczej nie","raczej nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie"
"2021/12/28 12:50:02 PM CET","mężczyzna","20","Informatyka ","zdecydowanie nie","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej tak","raczej tak","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","raczej nie","raczej tak"
"2021/12/28 12:54:43 PM CET","kobieta","23","Lekarski","raczej nie","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","raczej tak","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","raczej tak","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","trochę tak, trochę nie"
"2021/12/28 12:55:17 PM CET","inna","22","sinologia","raczej tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej nie","raczej nie","zdecydowanie nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","zdecydowanie tak","raczej tak","raczej tak","raczej tak","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej tak"
"2021/12/28 12:58:01 PM CET","kobieta","20","Filologia słowiańska","raczej tak","raczej tak","zdecydowanie nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie tak","raczej nie","trochę tak, trochę nie","raczej tak","raczej tak","raczej tak","zdecydowanie tak"
"2021/12/28 1:04:10 PM CET","mężczyzna","25","Sinologia, anglistyka","zdecydowanie nie","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej tak","raczej tak","zdecydowanie tak","raczej nie","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej tak","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie"
"2021/12/28 1:26:21 PM CET","inna","21","Filologia Słowiańska","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej nie","raczej tak","zdecydowanie tak","zdecydowanie tak","raczej nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej tak","raczej tak","zdecydowanie tak","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie"
"2021/12/28 1:32:59 PM CET","kobieta","20","Sinologia","trochę tak, trochę nie","raczej tak","raczej nie","raczej nie","raczej tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej nie","raczej nie","raczej tak","raczej nie","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak"
"2021/12/28 1:57:08 PM CET","kobieta","21","Filologia słowiańska - bułgarska ","trochę tak, trochę nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak","raczej tak","raczej nie","zdecydowanie tak","raczej tak","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej tak"
"2021/12/28 2:05:44 PM CET","kobieta","20","Sinologia","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie tak","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","raczej nie","zdecydowanie nie"
"2021/12/28 2:11:01 PM CET","kobieta","20","Matematyka","zdecydowanie tak","trochę tak, trochę nie","raczej tak","raczej nie","raczej tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","raczej tak","raczej tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak"
"2021/12/28 2:13:48 PM CET","kobieta","21","Matematyka","zdecydowanie nie","zdecydowanie nie","raczej tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","raczej tak","raczej tak","zdecydowanie tak","raczej tak","raczej tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie"
"2021/12/28 2:14:21 PM CET","kobieta","20","Finanse i rachunkowość","raczej nie","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie tak","raczej tak","zdecydowanie nie","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej nie","raczej nie","zdecydowanie nie","raczej tak","raczej nie","raczej nie","raczej nie","zdecydowanie nie"
"2021/12/28 2:15:44 PM CET","kobieta","19","Sinologia","zdecydowanie tak","raczej tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","zdecydowanie tak","raczej tak","zdecydowanie tak","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","raczej tak","zdecydowanie tak","raczej nie","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","raczej tak","raczej nie","raczej tak","raczej tak","raczej tak","trochę tak, trochę nie","raczej tak","raczej tak"
"2021/12/28 2:20:02 PM CET","kobieta","19","Matematyka ","zdecydowanie nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej tak","raczej nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie"
"2021/12/28 2:36:00 PM CET","kobieta","23","Zarządzanie","raczej nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej nie","raczej nie","raczej nie","raczej tak"
"2021/12/28 2:38:42 PM CET","inna","20","Lingwistyka Stosowana","zdecydowanie tak","zdecydowanie tak","raczej nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","raczej tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","trochę tak, trochę nie","raczej nie","zdecydowanie tak","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie tak","raczej tak"
"2021/12/28 2:42:54 PM CET","mężczyzna","20","Ekonometria","trochę tak, trochę nie","raczej tak","trochę tak, trochę nie","raczej nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej nie","raczej nie","raczej tak","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","trochę tak, trochę nie","raczej nie","raczej tak","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej tak","trochę tak, trochę nie","zdecydowanie nie","raczej nie","raczej tak"
"2021/12/28 2:56:15 PM CET","mężczyzna","20","Studia międzydziedzinowe MISH","zdecydowanie nie","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie"
"2021/12/28 3:00:32 PM CET","mężczyzna","20","Ekonomia","trochę tak, trochę nie","raczej nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","raczej nie","raczej tak","raczej nie","raczej tak","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie tak","zdecydowanie tak","raczej tak","trochę tak, trochę nie","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","raczej nie"
"2021/12/28 3:00:50 PM CET","mężczyzna","20","Ekonomia","raczej nie","raczej nie","raczej tak","zdecydowanie nie","zdecydowanie nie","raczej tak","zdecydowanie nie","trochę tak, trochę nie","raczej nie","raczej tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","zdecydowanie tak","raczej nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie tak","raczej tak","zdecydowanie nie","zdecydowanie tak","zdecydowanie nie","zdecydowanie nie","raczej tak","raczej nie"
"2021/12/28 3:01:27 PM CET","kobieta","20","Międzykierunkowe studia ekonomiczno-menedżerskie","zdecydowanie nie","zdecydowanie nie","trochę tak, trochę nie","zdecydowanie nie","raczej tak","zdecydowanie tak","zdecydowanie nie","raczej tak","zdecydowanie nie","raczej nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","zdecydowanie tak","zdecydowanie tak","trochę tak, trochę nie","raczej tak","zdecydowanie nie","raczej tak","raczej nie","raczej nie","zdecydowanie nie","zdecydowanie nie","raczej nie","zdecydowanie nie","zdecydowanie nie","zdecydowanie nie","raczej tak"
